idx,batch,type,class,priority,english,garo,confidence,discrepancy_codes,discrepancy_detail,nv_refs,rule_refs,owner_directive,native_cited
1577,4,PHRASE,A,P2,thirteen fish,chi na·tok mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen fish' | 4 distinct English glosses under Garo form 'chi na·tok mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1578,4,PHRASE,A,P2,thirteen teacher,chi na·tok skigipa·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen teacher' | 2 distinct English glosses under Garo form 'chi na·tok skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1579,4,PHRASE,A,P2,thirteen teachers,chi na·tok skigipa·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi na·tok skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1580,4,PHRASE,A,P2,thirteen student,chi na·tok chik·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen student' | 6 distinct English glosses under Garo form 'chi na·tok chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1581,4,PHRASE,A,P2,thirteen students,chi na·tok chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi na·tok chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1582,4,PHRASE,A,P2,thirteen house,chi na·tok rang·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi na·tok rang·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1583,4,PHRASE,A,P2,thirteen tree,chi na·tok rang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen tree' | 2 distinct English glosses under Garo form 'chi na·tok rang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1584,4,PHRASE,A,P2,thirteen book,chi na·tok kitab·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen book' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1585,4,PHRASE,A,P2,thirteen car,chi na·tok mot·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen car' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1586,4,PHRASE,A,P2,thirteen apple,chi na·tok se·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen apple' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1587,4,PHRASE,A,P2,thirteen banana,chi na·tok sobo·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen banana' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1588,4,PHRASE,A,P2,thirteen rice,chi na·tok chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi na·tok chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1589,4,PHRASE,A,P2,thirteen water,chi na·tok chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi na·tok chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1590,4,PHRASE,A,P2,thirteen waters,chi na·tok chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi na·tok chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1591,4,PHRASE,A,P2,thirteen food,chi na·tok chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi na·tok chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1592,4,PHRASE,A,P2,thirteen road,chi na·tok lam·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen road' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1593,4,PHRASE,A,P2,thirteen river,chi na·tok chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi na·tok chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1594,4,PHRASE,A,P2,thirteen rivers,chi na·tok chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi na·tok chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1595,4,PHRASE,A,P2,thirteen mountain,chi na·tok nok·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen mountain' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1596,4,PHRASE,A,P2,thirteen village,chi na·tok rim·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'thirteen village' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1597,4,PHRASE,A,P2,fourteen person,chi brang mande·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen person' | 2 distinct English glosses under Garo form 'chi brang mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1598,4,PHRASE,A,P2,fourteen persons,chi brang mande·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi brang mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1599,4,PHRASE,A,P2,fourteen dog,chi brang mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen dog' | 4 distinct English glosses under Garo form 'chi brang mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1600,4,PHRASE,A,P2,fourteen cat,chi brang mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen cat' | 4 distinct English glosses under Garo form 'chi brang mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1601,4,PHRASE,A,P2,fourteen bird,chi brang mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen bird' | 4 distinct English glosses under Garo form 'chi brang mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1602,4,PHRASE,A,P2,fourteen fish,chi brang mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen fish' | 4 distinct English glosses under Garo form 'chi brang mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1603,4,PHRASE,A,P2,fourteen teacher,chi brang skigipa·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen teacher' | 2 distinct English glosses under Garo form 'chi brang skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1604,4,PHRASE,A,P2,fourteen teachers,chi brang skigipa·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi brang skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1605,4,PHRASE,A,P2,fourteen student,chi brang chik·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen student' | 6 distinct English glosses under Garo form 'chi brang chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1606,4,PHRASE,A,P2,fourteen students,chi brang chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi brang chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1607,4,PHRASE,A,P2,fourteen house,chi brang rang·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi brang rang·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1608,4,PHRASE,A,P2,fourteen tree,chi brang rang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen tree' | 2 distinct English glosses under Garo form 'chi brang rang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1609,4,PHRASE,A,P2,fourteen book,chi brang kitab·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen book' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1610,4,PHRASE,A,P2,fourteen car,chi brang mot·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen car' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1611,4,PHRASE,A,P2,fourteen apple,chi brang se·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen apple' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1612,4,PHRASE,A,P2,fourteen banana,chi brang sobo·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen banana' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1613,4,PHRASE,A,P2,fourteen rice,chi brang chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi brang chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1614,4,PHRASE,A,P2,fourteen water,chi brang chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi brang chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1615,4,PHRASE,A,P2,fourteen waters,chi brang chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi brang chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1616,4,PHRASE,A,P2,fourteen food,chi brang chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi brang chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1617,4,PHRASE,A,P2,fourteen road,chi brang lam·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen road' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1618,4,PHRASE,A,P2,fourteen river,chi brang chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi brang chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1619,4,PHRASE,A,P2,fourteen rivers,chi brang chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi brang chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1620,4,PHRASE,A,P2,fourteen mountain,chi brang nok·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen mountain' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1621,4,PHRASE,A,P2,fourteen village,chi brang rim·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fourteen village' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1622,4,PHRASE,A,P2,fifteen person,chi bonga mande·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen person' | 2 distinct English glosses under Garo form 'chi bonga mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1623,4,PHRASE,A,P2,fifteen persons,chi bonga mande·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi bonga mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1624,4,PHRASE,A,P2,fifteen dog,chi bonga mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen dog' | 4 distinct English glosses under Garo form 'chi bonga mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1625,4,PHRASE,A,P2,fifteen cat,chi bonga mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen cat' | 4 distinct English glosses under Garo form 'chi bonga mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1626,4,PHRASE,A,P2,fifteen bird,chi bonga mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen bird' | 4 distinct English glosses under Garo form 'chi bonga mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1627,4,PHRASE,A,P2,fifteen fish,chi bonga mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen fish' | 4 distinct English glosses under Garo form 'chi bonga mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1628,4,PHRASE,A,P2,fifteen teacher,chi bonga skigipa·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen teacher' | 2 distinct English glosses under Garo form 'chi bonga skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1629,4,PHRASE,A,P2,fifteen teachers,chi bonga skigipa·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi bonga skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1630,4,PHRASE,A,P2,fifteen student,chi bonga chik·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen student' | 6 distinct English glosses under Garo form 'chi bonga chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1631,4,PHRASE,A,P2,fifteen students,chi bonga chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi bonga chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1632,4,PHRASE,A,P2,fifteen house,chi bonga rang·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi bonga rang·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1633,4,PHRASE,A,P2,fifteen tree,chi bonga rang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen tree' | 2 distinct English glosses under Garo form 'chi bonga rang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1634,4,PHRASE,A,P2,fifteen book,chi bonga kitab·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen book' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1635,4,PHRASE,A,P2,fifteen car,chi bonga mot·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen car' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1636,4,PHRASE,A,P2,fifteen apple,chi bonga se·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen apple' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1637,4,PHRASE,A,P2,fifteen banana,chi bonga sobo·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen banana' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1638,4,PHRASE,A,P2,fifteen rice,chi bonga chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi bonga chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1639,4,PHRASE,A,P2,fifteen water,chi bonga chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi bonga chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1640,4,PHRASE,A,P2,fifteen waters,chi bonga chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi bonga chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1641,4,PHRASE,A,P2,fifteen food,chi bonga chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi bonga chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1642,4,PHRASE,A,P2,fifteen road,chi bonga lam·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen road' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1643,4,PHRASE,A,P2,fifteen river,chi bonga chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi bonga chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1644,4,PHRASE,A,P2,fifteen rivers,chi bonga chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi bonga chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1645,4,PHRASE,A,P2,fifteen mountain,chi bonga nok·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen mountain' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1646,4,PHRASE,A,P2,fifteen village,chi bonga rim·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'fifteen village' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1647,4,PHRASE,A,P2,sixteen person,chi dokka mande·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen person' | 2 distinct English glosses under Garo form 'chi dokka mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1648,4,PHRASE,A,P2,sixteen persons,chi dokka mande·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi dokka mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1649,4,PHRASE,A,P2,sixteen dog,chi dokka mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen dog' | 4 distinct English glosses under Garo form 'chi dokka mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1650,4,PHRASE,A,P2,sixteen cat,chi dokka mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen cat' | 4 distinct English glosses under Garo form 'chi dokka mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1651,4,PHRASE,A,P2,sixteen bird,chi dokka mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen bird' | 4 distinct English glosses under Garo form 'chi dokka mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1652,4,PHRASE,A,P2,sixteen fish,chi dokka mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen fish' | 4 distinct English glosses under Garo form 'chi dokka mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1653,4,PHRASE,A,P2,sixteen teacher,chi dokka skigipa·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen teacher' | 2 distinct English glosses under Garo form 'chi dokka skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1654,4,PHRASE,A,P2,sixteen teachers,chi dokka skigipa·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi dokka skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1655,4,PHRASE,A,P2,sixteen student,chi dokka chik·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen student' | 6 distinct English glosses under Garo form 'chi dokka chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1656,4,PHRASE,A,P2,sixteen students,chi dokka chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi dokka chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1657,4,PHRASE,A,P2,sixteen house,chi dokka rang·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi dokka rang·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1658,4,PHRASE,A,P2,sixteen tree,chi dokka rang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen tree' | 2 distinct English glosses under Garo form 'chi dokka rang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1659,4,PHRASE,A,P2,sixteen book,chi dokka kitab·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen book' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1660,4,PHRASE,A,P2,sixteen car,chi dokka mot·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen car' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1661,4,PHRASE,A,P2,sixteen apple,chi dokka se·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen apple' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1662,4,PHRASE,A,P2,sixteen banana,chi dokka sobo·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen banana' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1663,4,PHRASE,A,P2,sixteen rice,chi dokka chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi dokka chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1664,4,PHRASE,A,P2,sixteen water,chi dokka chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi dokka chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1665,4,PHRASE,A,P2,sixteen waters,chi dokka chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi dokka chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1666,4,PHRASE,A,P2,sixteen food,chi dokka chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi dokka chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1667,4,PHRASE,A,P2,sixteen road,chi dokka lam·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen road' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1668,4,PHRASE,A,P2,sixteen river,chi dokka chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi dokka chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1669,4,PHRASE,A,P2,sixteen rivers,chi dokka chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi dokka chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1670,4,PHRASE,A,P2,sixteen mountain,chi dokka nok·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen mountain' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1671,4,PHRASE,A,P2,sixteen village,chi dokka rim·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sixteen village' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1672,4,PHRASE,A,P2,seventeen person,chi sni mande·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen person' | 2 distinct English glosses under Garo form 'chi sni mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1673,4,PHRASE,A,P2,seventeen persons,chi sni mande·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi sni mande·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1674,4,PHRASE,A,P2,seventeen dog,chi sni mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen dog' | 4 distinct English glosses under Garo form 'chi sni mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1675,4,PHRASE,A,P2,seventeen cat,chi sni mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen cat' | 4 distinct English glosses under Garo form 'chi sni mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1676,4,PHRASE,A,P2,seventeen bird,chi sni mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen bird' | 4 distinct English glosses under Garo form 'chi sni mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1677,4,PHRASE,A,P2,seventeen fish,chi sni mang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen fish' | 4 distinct English glosses under Garo form 'chi sni mang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1678,4,PHRASE,A,P2,seventeen teacher,chi sni skigipa·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen teacher' | 2 distinct English glosses under Garo form 'chi sni skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1679,4,PHRASE,A,P2,seventeen teachers,chi sni skigipa·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi sni skigipa·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1680,4,PHRASE,A,P2,seventeen student,chi sni chik·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen student' | 6 distinct English glosses under Garo form 'chi sni chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1681,4,PHRASE,A,P2,seventeen students,chi sni chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi sni chik·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1682,4,PHRASE,A,P2,seventeen house,chi sni rang·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi sni rang·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1683,4,PHRASE,A,P2,seventeen tree,chi sni rang·gni,superseded,D5;D1;D2;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen tree' | 2 distinct English glosses under Garo form 'chi sni rang·gni' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1684,4,PHRASE,A,P2,seventeen book,chi sni kitab·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen book' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1685,4,PHRASE,A,P2,seventeen car,chi sni mot·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen car' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1686,4,PHRASE,A,P2,seventeen apple,chi sni se·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen apple' | notes explicitly flag an unresolved tension/contradiction,NV-071,,False,False
1687,4,PHRASE,A,P2,seventeen banana,chi sni sobo·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen banana' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1688,4,PHRASE,A,P2,seventeen rice,chi sni chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi sni chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1689,4,PHRASE,A,P2,seventeen water,chi sni chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi sni chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1690,4,PHRASE,A,P2,seventeen waters,chi sni chik·gni,superseded,D2;D8,6 distinct English glosses under Garo form 'chi sni chik·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1691,4,PHRASE,A,P2,seventeen food,chi sni chak·gni,superseded,D2;D8,2 distinct English glosses under Garo form 'chi sni chak·gni' | notes explicitly flag an unresolved tension/contradiction,,,False,True
1692,4,PHRASE,A,P2,seventeen road,chi sni lam·gni,superseded,D5;D1;D8,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'seventeen road' | notes explicitly flag an unresolved tension/contradiction,,,False,True
